Frame Rate:,23.9760239760
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.042,0.057554472477064224,0.060851490825688075,0.012435493119266054,0.09937643348623854
2,00:00:00.083,2.6349746750764527,1.3767201834862386,1.444237385321101,5.083966456422019
3,00:00:00.125,2.3592197056574924,1.243011754587156,1.337012614678899,4.497634747706422
4,00:00:00.167,1.70576500382263,0.9778526376146789,0.9760966169724771,3.163345756880734
5,00:00:00.209,1.8006498470948014,0.9761682912844036,1.151376146788991,3.2744051032110093
6,00:00:00.250,1.822462729357798,0.9978497706422018,1.0515338302752293,3.4180045871559632
7,00:00:00.292,1.8443831230886854,1.1109876720183487,1.1233873279816513,3.298774369266055
8,00:00:00.334,1.9532086200305814,1.0680189220183487,1.1363962155963303,3.6552107224770642
9,00:00:00.375,1.6780031536697246,1.0740037270642202,0.9982081422018348,2.961797591743119
10,00:00:00.417,1.5931288226299694,1.09754873853211,0.915245126146789,2.7665926032110093
11,00:00:00.459,2.123017010703364,1.238997993119266,1.1316657110091743,3.9983873279816513
12,00:00:00.500,2.3430929854740064,1.1328125,1.3466528096330275,4.549813646788991
13,00:00:00.542,2.5023533065749235,1.2400372706422018,1.6004515481651376,4.666571100917431
14,00:00:00.584,2.220924120795107,1.1288345756880733,1.3094896788990826,4.224448107798165
15,00:00:00.626,1.9616900802752293,1.0198179472477065,1.1193735665137614,3.74587872706422
16,00:00:00.667,2.182877006880734,1.327049885321101,1.0348337155963303,4.186747419724771
17,00:00:00.709,2.0865586773700304,1.178863245412844,1.0875143348623852,3.993298451834862
18,00:00:00.751,1.5072868883792048,0.9072892775229358,0.7673093463302753,2.8472620412844036
19,00:00:00.792,2.046002962538226,1.1378297018348624,1.0542574541284404,3.945921731651376
20,00:00:00.834,1.7644901567278286,1.0307124426605505,0.9231293004587156,3.33962872706422
21,00:00:00.876,2.21705370795107,1.2307912844036697,1.1645642201834863,4.255805619266055
22,00:00:00.918,1.8363556001529053,1.0728927752293578,1.0083500573394495,3.4278239678899083
23,00:00:00.959,1.9196530963302754,1.1167574541284404,1.1135679472477065,3.5286338876146788
24,00:00:01.001,1.7418410741590213,1.0471975344036697,0.9375,3.2408256880733943
25,00:00:01.043,1.5103091551987766,0.9248494839449541,0.9253870412844036,2.6806909403669725
26,00:00:01.084,1.7425219801223244,1.0739320527522935,1.012077121559633,3.141556766055046
27,00:00:01.126,1.3886778478593271,0.8790854357798165,0.7575258027522935,2.5294223050458715
28,00:00:01.168,1.7762686353211008,1.0138689793577982,1.1349627293577982,3.1799741972477062
29,00:00:01.210,1.7225845756880733,0.962478497706422,1.0531823394495412,3.152092889908257
30,00:00:01.251,1.968499139908257,1.1934489678899083,1.2382454128440368,3.473803038990826
31,00:00:01.293,1.5756880733944953,1.0955776949541285,0.9749856651376146,2.656500860091743
32,00:00:01.335,2.081159212538226,1.2685278096330275,1.2583142201834863,3.7166356077981653
33,00:00:01.376,1.830179663608563,1.1075114678899083,1.1484016628440368,3.234625860091743
34,00:00:01.418,1.8193568425076452,1.1341743119266054,1.061532396788991,3.2623638188073394
35,00:00:01.460,1.902845470183486,1.1219538417431192,1.1823752866972477,3.4042072821100917
36,00:00:01.501,1.9469849006116207,1.1306622706422018,1.3172663417431192,3.3930260894495414
37,00:00:01.543,1.602876529051988,1.0238317087155964,0.8418147935779816,2.9429830848623855
38,00:00:01.585,1.6979047209480125,1.087120126146789,0.9650587729357798,3.041535263761468
39,00:00:01.627,1.5751982989296636,1.0366614105504588,0.8375143348623854,2.8514191513761467
40,00:00:01.668,1.9101323585626913,1.0865467316513762,1.1826978211009174,3.46115252293578
41,00:00:01.710,1.7372061353211008,1.1086940940366972,1.0120412844036697,3.0908830275229358
42,00:00:01.752,1.7499761085626908,1.04698251146789,0.9890338302752294,3.213911983944954
43,00:00:01.793,1.511025898318043,0.9886754587155964,0.7700329701834863,2.774369266055046
44,00:00:01.835,2.0215978593272173,1.171624139908257,1.1919079701834863,3.7012614678899083
45,00:00:01.877,1.8576309250764524,1.0548308486238531,1.137077121559633,3.3809848050458715
46,00:00:01.919,1.4278598050458715,0.881988245412844,0.8595900229357798,2.5420011467889907
47,00:00:01.960,1.8124999999999998,1.0444380733944953,0.982009747706422,3.4110521788990824
48,00:00:02.002,1.6659021406727827,1.0662270642201834,0.9305475917431193,3.000931766055046
49,00:00:02.044,1.4189363532110093,0.8987600344036697,0.7689578555045872,2.5890911697247705
50,00:00:02.085,1.55309871941896,0.9980647935779816,0.8326046444954128,2.828626720183486
51,00:00:02.127,1.6667980695718656,1.0167359518348624,0.8630303899082569,3.120627866972477
52,00:00:02.169,1.7106269113149848,1.063324254587156,0.9897864105504587,3.0787700688073394
53,00:00:02.211,1.544318616207951,0.9654888188073395,0.9476419151376146,2.719825114678899
54,00:00:02.252,1.8252819189602445,1.027594610091743,1.113854644495413,3.334396502293578
55,00:00:02.294,1.6562858371559637,1.112206135321101,0.963661123853211,2.892990252293578
56,00:00:02.336,1.5559776376146788,0.9428755733944955,0.9076118119266054,2.8174455275229358
57,00:00:02.377,2.018360569571865,1.2005447247706422,1.3502365252293578,3.5043004587155964
58,00:00:02.419,1.9191633218654436,1.1750286697247707,1.1500143348623852,3.432446961009174
59,00:00:02.461,1.7077002102446481,1.022147362385321,1.116004873853211,2.984948394495413
60,00:00:02.502,5.301330753058104,3.206565366972477,2.020463016055046,10.67696387614679
61,00:00:02.544,1.7366207951070336,1.0523580848623852,1.0811711582568808,3.0763331422018347
62,00:00:02.586,1.6825305810397555,0.8708428899082569,1.15635751146789,3.020391341743119
63,00:00:02.628,1.4753440366972477,0.9783901949541285,0.9098337155963303,2.5378081995412844
64,00:00:02.669,2.1355241781345566,1.2440510321100917,1.2842961582568808,3.8782253440366974
65,00:00:02.711,1.8003273126911317,1.0843606651376148,1.2511467889908257,3.065474483944954
66,00:00:02.753,1.5337824923547398,0.9836940940366973,0.8350774082568807,2.782575974770642
67,00:00:02.794,1.6205084097859326,1.0279529816513762,0.9039564220183486,2.9296158256880735
68,00:00:02.836,1.637136850152905,1.0653669724770642,0.9244911123853211,2.92155246559633
69,00:00:02.878,1.4367713111620795,0.893706995412844,0.890625,2.5259819380733943
70,00:00:02.920,1.5048141246177371,0.9093678325688074,0.9474268922018348,2.657647649082569
71,00:00:02.961,1.5457521024464829,0.9258529243119266,1.019280389908257,2.692122993119266
72,00:00:03.003,1.6211893157492356,0.9064291857798165,0.9130948967889908,3.044043864678899
73,00:00:03.045,1.8671994457186545,1.0691657110091743,1.2980217889908257,3.2344108371559632
74,00:00:03.086,1.6629157110091743,1.0020427178899083,1.0225057339449541,2.9641986811926606
75,00:00:03.128,1.7060755925076452,1.003655389908257,1.0355862958715596,3.078985091743119
76,00:00:03.170,1.6148103019877675,1.02734375,1.0034045298165137,2.813682626146789
77,00:00:03.212,1.3362480886850154,0.8887614678899083,0.7238747133027523,2.3961080848623855
78,00:00:03.253,1.513116399082569,0.8876505160550459,0.8547161697247706,2.79698251146789
79,00:00:03.295,1.8232630925076452,1.0259102637614679,1.1049311926605505,3.3389478211009176
80,00:00:03.337,2.030067373853211,1.193198107798165,1.066979644495413,3.830024369266055
81,00:00:03.378,1.6877389143730885,0.9703626720183486,0.9746272935779816,3.1182267775229358
82,00:00:03.420,2.1524632071865444,1.144280389908257,1.5888044724770642,3.724304759174312
83,00:00:03.462,1.4762160741590213,0.9627651949541285,0.8853211009174312,2.5805619266055047
84,00:00:03.503,1.752472763761468,0.9897147362385321,1.1922663417431192,3.0754372133027523
85,00:00:03.545,1.3899560397553516,0.9396502293577982,0.8104214449541285,2.4197964449541285
86,00:00:03.587,1.3838517775229358,0.9621559633027523,0.7890625,2.400336869266055
87,00:00:03.629,1.6786004396024463,0.9682482798165137,1.096581135321101,2.970971903669725
88,00:00:03.670,1.3265003822629968,0.7818950688073395,0.7772362385321101,2.4203698394495414
89,00:00:03.712,1.5367330848623855,0.9999283256880734,0.7759819380733946,2.834288990825688
90,00:00:03.754,63.738520164373085,43.85618549311926,49.355110378440365,98.00426462155963
91,00:00:03.795,4.5890194954128445,5.1171875,1.8318520642201834,6.818018922018348
92,00:00:03.837,5.381952408256882,5.379515481651376,2.7627221903669725,8.003619552752294
93,00:00:03.879,2.682411123853211,3.361740252293578,0.8444667431192661,3.841026376146789
94,00:00:03.921,1.678696005351682,2.050315366972477,0.4810421444954128,2.504730504587156
95,00:00:03.962,2.8011276758409784,3.2997419724770642,1.018241112385321,4.08539994266055
96,00:00:04.004,2.800446769877676,3.4509389334862384,0.8553970756880734,4.095004300458716
97,00:00:04.046,2.523819762996942,2.959539850917431,0.6584002293577982,3.9535192087155964
98,00:00:04.087,2.533806383792049,3.010571961009174,0.7839019495412844,3.806945240825688
99,00:00:04.129,2.8532229548929666,3.6044294724770642,0.6468248279816514,4.308414564220183
100,00:00:04.171,4.733371559633027,6.381773222477064,0.6318807339449541,7.186460722477064
101,00:00:04.213,2.572247706422018,3.206171158256881,0.5765481651376146,3.9340237958715596
102,00:00:04.254,5.1612313646788985,6.233980791284404,0.8595541857798165,8.390159116972477
103,00:00:04.296,5.177214736238533,6.192660550458716,1.3197749426605505,8.01920871559633
104,00:00:04.338,4.043972190366972,5.084432339449541,0.9123781536697247,6.135106077981652
105,00:00:04.379,3.8075544724770647,5.034116972477064,0.7254515481651376,5.663094896788991
106,00:00:04.421,4.5246201261467895,4.864105504587156,1.699935493119266,7.009819380733945
107,00:00:04.463,3.6081206995412844,4.311424885321101,0.8440725344036697,5.668864678899083
108,00:00:04.504,3.8701858753822633,4.220613532110092,1.2611095183486238,6.1288345756880735
109,00:00:04.546,2.6140457759938838,3.0743620986238533,0.6481866399082569,4.119588589449541
110,00:00:04.588,2.392297400611621,2.927178899082569,0.40560493119266056,3.844108371559633
111,00:00:04.630,3.103378249235474,3.658149369266055,0.5468033256880734,5.105182052752293
112,00:00:04.671,2.3923929663608563,2.356866399082569,0.7268491972477065,4.093463302752293
113,00:00:04.713,2.2308510129969417,2.3624928325688073,0.5981579701834863,3.731902236238532
114,00:00:04.755,2.1313551223241594,2.2841169724770642,0.5112887041284404,3.5986596903669725
115,00:00:04.796,2.9291618883792054,3.127365252293578,0.5478426032110092,5.112277809633028
116,00:00:04.838,2.2118692660550456,2.645247993119266,0.5953626720183486,3.394997133027523
117,00:00:04.880,2.1616016819571864,2.7328698394495414,0.37689936926605505,3.3750358371559632
118,00:00:04.922,6.523533065749237,9.152200401376147,0.584396502293578,9.834002293577981
119,00:00:04.963,3.6963278860856277,5.251397649082569,0.5795584862385321,5.25802752293578
120,00:00:05.005,4.316454032874618,5.727386754587156,0.9794294724770642,6.242545871559633
121,00:00:05.047,2.84819380733945,3.647577408256881,0.5409977064220184,4.35600630733945
122,00:00:05.088,4.182518635321101,4.850738245412844,1.12120126146789,6.575616399082569
123,00:00:05.130,3.498578459480123,4.72276376146789,0.6271502293577982,5.145821387614679
124,00:00:05.172,3.210758314220184,4.183772935779817,0.5907755160550459,4.857726490825688
125,00:00:05.214,2.9009461009174307,3.649620126146789,0.7231938073394495,4.330024369266055
126,00:00:05.255,2.091790902140673,2.6062571674311927,0.37428325688073394,3.2948322821100917
127,00:00:05.297,3.1405652714067274,3.4444165711009176,0.830131880733945,5.147147362385321
128,00:00:05.339,2.749498279816514,3.107726490825688,0.7545871559633027,4.38618119266055
129,00:00:05.380,2.2785622133027523,2.4937643348623855,0.546050745412844,3.7958715596330275
130,00:00:05.422,1.865694285168196,2.0778383027522938,0.40503153669724773,3.114213016055046
131,00:00:05.464,2.054006594036697,2.5824612958715596,0.42162413990825687,3.157934346330275
132,00:00:05.505,3.9003010321100917,4.38682626146789,1.2582425458715596,6.055834288990826
133,00:00:05.547,3.050064506880734,3.9786410550458715,0.544868119266055,4.626684346330276
134,00:00:05.589,2.473265481651376,3.251684346330275,0.5045154816513762,3.663596616972477
135,00:00:05.631,2.3219251720183487,3.0606364678899083,0.39256020642201833,3.512578841743119
136,00:00:05.672,2.605492641437309,3.0501361811926606,0.9038489105504587,3.8624928325688073
137,00:00:05.714,2.6975344036697244,3.01530246559633,0.9591098050458715,4.118190940366972
138,00:00:05.756,1.8521478402140674,2.119194380733945,0.44323394495412843,2.9940151949541285
139,00:00:05.797,5.739416093272172,6.84765625,1.1682554472477065,9.202336582568808
140,00:00:05.839,4.41279625382263,5.236776089449541,0.9548810206422018,7.046731651376147
141,00:00:05.881,6.034797878440366,7.537844036697248,0.8400946100917431,9.72645498853211
142,00:00:05.923,3.1063646788990824,3.690546158256881,0.5004658830275229,5.128081995412844
143,00:00:05.964,6.33351251911315,7.747563073394495,0.9527307912844036,10.300243692660551
144,00:00:06.006,3.8953913417431196,4.838661123853211,0.6821961009174312,6.165316800458716
145,00:00:06.048,6.638271693425076,8.725666571100918,1.140266628440367,10.048881880733944
146,00:00:06.089,5.362743692660551,6.628619552752293,0.9496487958715596,8.509962729357799
147,00:00:06.131,7.181491303516819,9.938109231651376,0.9021287270642202,10.704235951834862
148,00:00:06.173,4.236035454892966,5.838983658256881,0.7181049311926605,6.1510177752293576
149,00:00:06.215,5.842495699541285,8.064757740825687,0.5524655963302753,8.91026376146789
150,00:00:06.256,8.93044008027523,10.240789850917432,2.0664420871559632,14.484088302752294
151,00:00:06.298,3.473588016055046,3.8812356651376145,1.094932626146789,5.444595756880734
152,00:00:06.340,4.4129873853211015,4.786267201834862,1.460471616972477,6.992223337155964
153,00:00:06.381,3.642954415137614,3.795226490825688,1.221258600917431,5.912378153669724
154,00:00:06.423,3.2551127675840976,3.4003010321100917,1.143957855504587,5.2210794151376145
155,00:00:06.465,3.1894113149847088,3.630554759174312,0.5576619839449541,5.380017201834862
156,00:00:06.506,2.7200401376146783,3.0438646788990824,0.5823179472477065,4.533937786697248
157,00:00:06.548,2.7273628631498466,2.959539850917431,0.918327121559633,4.304221616972477
158,00:00:06.590,4.959850439602447,5.771573967889908,0.7473122133027523,8.36066513761468
159,00:00:06.632,3.456660932721713,4.303934919724771,0.4606508027522936,5.6053970756880735
160,00:00:06.673,6.960674694189603,9.500788417431192,0.7140553325688074,10.667180332568808
161,00:00:06.715,3.83456374235474,5.488532110091743,0.5827838302752294,5.432375286697248
162,00:00:06.757,5.395212155963303,7.797018348623853,0.7644065366972477,7.624211582568807
163,00:00:06.798,5.880960913608562,8.379049598623853,0.580848623853211,8.682984518348624
164,00:00:06.840,5.045238436544342,6.861095183486238,0.6967818233944955,7.577838302752293
