Timecode List:,01:32.1,02:02.5,09:05.1,10:21.3,30:50.9,42:36.8,52:20.1,,
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.0,0,2759,01:32.1,92.059,2759,01:32.1,92.059
3,3672,00:02:02.5,122.522,16338,09:05.1,545.145,12666,07:02.6,422.622
4,16338,00:09:05.1,545.145,18621,10:21.3,621.321,2283,01:16.2,76.176
5,18621,00:10:21.3,621.321,55472,30:50.9,1850.916,36851,20:29.6,1229.595
6,55472,00:30:50.9,1850.916,76627,42:36.8,2556.788,21155,11:45.9,705.872
7,76627,00:42:36.8,2556.788,94110,52:20.1,3140.137,17483,09:43.3,583.349
8,94110,00:52:20.1,3140.137,104235,57:58.0,3477.975,10125,05:37.8,337.838
